ID;weibo_poiid;;dianping_id;;classification;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count
98;B2094750DA6BA0FB429A;;6421791;;2;98烧烤;;西城区虎坊桥路口东侧路南;;;;;39.890098;116.387931;39.88869935;116.3816941;;;20;141
99;B2094654D36EABF5449B;;3619450;;4;北京轻联富润吉兴宾馆;;大栅栏石头胡同65号;;;;;39.8923;116.39093;39.89089959;116.384691;;;3;11
100;B2094757D66AA3F4499B;B2094753DB6DA0FD4299;508632;;2;丰泽园饭庄 珠市口总店;;西城区西城区珠市口西大街83号(近两广路);;;;;39.89067;116.39478;39.88926807;116.3885395;;;931;2095
101;B2094654D36EABF5439A;;3158185;;4;爱义行汽车服务珠市口店;;珠市口西大街131;;;;;39.89027;116.39221;39.88886908;116.3859706;;;98;127
102;B2094654D36EABF5429B;;5428331;;2;曲芳餐厅;;东城区珠市口西大街113号;;;;;39.89054;116.3934;39.88913857;116.38716;;;4;7
103;B2094654D66DA6F44692;;;;6;煤市街南口;;;;;;;39.8912;116.39503;39.88979796;116.3887893;;;60;
104;B2094654D06FAAF4489B;;4128215;;4;北京安成商务酒店;;西城区珠市口西大街129号;;;;;39.89035;116.39261;39.88894891;116.3863704;;;10;3
105;B2094654D16FABFA4092;;;;0;傅薪;;宣武区珠市口西大街115;;;;;39.89048;116.39312;39.88907869;116.3868801;;;44;
106;B209475CD36EA6F8459C;;5643123;;2;中俊老边饺子馆（和平门店）;;前门西大街甲10号近宣武门东大街-全聚德展览馆北侧-和平门邮政支局西北侧;;;;;39.89979413;116.3903618;39.89839366;116.3841221;;;5;183
107;B2094752D564AAFE449B;;3546289;;2;东来顺前门店;东来顺饭庄(大栅栏店);None;大栅栏7号吉龙老栅栏商城2楼;火锅;前门;;39.899464;116.390339;39.89806356;116.3840994;;;16;4936
108;B209475CD065A0FC469B;;2604658;;2;肯德基 前门店 KFC;;前门西大街正阳市场1号楼(供电局路口东南角);;;;;39.8996968;116.3947656;39.89829446;116.3885239;;;26;217
